,Episode,Epsilon,Reward,Mean_Reward,Time
68,68.0,0.7111635524897149,-55.40219482112147,-169.1765773329086,81.0
69,69.0,0.7076077347272662,-218.2248747875816,-169.87726729654682,107.0
70,70.0,0.7040696960536299,-73.43064191400441,-168.5188641221448,126.0
71,71.0,0.7005493475733617,-136.19805286671047,-168.0699639658193,178.0
72,72.0,0.697046600835495,-87.20215587137855,-166.9621857727448,125.0
73,73.0,0.6935613678313175,-44.1655652181591,-165.3027719814666,136.0
74,74.0,0.6900935609921609,-232.60887716632763,-166.20018671726476,130.0
75,75.0,0.6866430931872001,-8.122520005755291,-164.12021741842912,116.0
76,76.0,0.6832098777212641,-119.6826196132813,-163.543105758622,136.0
77,77.0,0.6797938283326578,-306.05813394189784,-165.37022150456144,143.0
78,78.0,0.6763948591909945,-175.57294991626355,-165.49936996546907,133.0
79,79.0,0.6730128848950395,-258.2565246337034,-166.65883439882197,147.0
80,80.0,0.6696478204705644,-273.504315747168,-167.97791441546823,122.0
81,81.0,0.6662995813682115,-157.74162475542812,-167.85308161473603,138.0
82,82.0,0.6629680834613705,-220.45562184722615,-168.4868471597058,224.0
83,83.0,0.6596532430440636,-202.1096724152103,-168.887118888938,131.0
84,84.0,0.6563549768288433,-119.87995750542464,-168.31056404913195,114.0
85,85.0,0.653073201944699,-231.39519394065601,-169.04410625717293,295.0
86,86.0,0.6498078359349755,-274.17091210028195,-170.25246034732362,127.0
87,87.0,0.6465587967553006,-309.9279225517719,-171.83968150873778,145.0
88,88.0,0.6433260027715241,-140.31268585197807,-171.48544560248203,114.0
89,89.0,0.6401093727576664,-246.82277915176223,-172.32252708636292,111.0
90,90.0,0.6369088258938781,-274.49882825282606,-173.4453435826977,123.0
91,91.0,0.6337242817644086,-197.69761309634143,-173.708955207846,96.0
92,92.0,0.6305556603555866,-383.7830744287389,-175.96781670484484,137.0
93,93.0,0.6274028820538087,-28.439600664525244,-174.3983675980329,74.0
94,94.0,0.6242658676435396,-186.44148065822392,-174.52513720919282,96.0
95,95.0,0.6211445383053219,-71.47203283504982,-173.4516673719622,203.0
96,96.0,0.6180388156137953,-175.433306483087,-173.47209664114905,180.0
97,97.0,0.6149486215357263,-84.88302739814966,-172.56812654683273,95.0
98,98.0,0.6118738784280476,-53.152162740324734,-171.36190469020133,164.0
99,99.0,0.6088145090359074,-199.18306458488803,-171.6401162891482,242.0
100,100.0,0.6057704364907278,-195.66265710087146,-172.2040144591707,203.0
101,101.0,0.6027415843082742,-277.4758339945822,-172.97234784520293,311.0
102,102.0,0.5997278763867329,-336.6091114690321,-173.22299532811502,232.0
103,103.0,0.5967292370047992,-91.66904934092722,-172.61997751306131,83.0
104,104.0,0.5937455908197752,-89.37475392949574,-171.88683090632694,110.0
105,105.0,0.5907768628656763,-182.3830711097707,-169.79631119779947,130.0
106,106.0,0.5878229785513479,-134.13394219258902,-169.86321600470947,92.0
107,107.0,0.5848838636585911,-291.5563642657306,-170.46496556894672,237.0
108,108.0,0.5819594443402982,-141.85383105938104,-168.02146356859427,95.0
109,109.0,0.5790496471185967,-211.8794818313623,-165.9981005513261,98.0
110,110.0,0.5761543988830038,-420.2333351379442,-169.43360814433476,308.0
111,111.0,0.5732736268885887,-172.84122647817827,-169.17173299793228,149.0
112,112.0,0.5704072587541458,-251.34859788934943,-167.07419803041682,241.0
113,113.0,0.567555222460375,-145.28133609586092,-166.40788026345774,120.0
114,114.0,0.5647174463480732,-201.6071159263065,-167.31303379404054,166.0
115,115.0,0.5618938591163328,-103.16676754753789,-167.23662436896518,102.0
116,116.0,0.5590843898207511,-137.4413310811091,-168.74666192736433,193.0
117,117.0,0.5562889678716474,-117.69382413801783,-168.69934306895578,94.0
118,118.0,0.5535075230322891,-132.84922447459422,-168.25549555964065,167.0
119,119.0,0.5507399854171277,-226.6970679431564,-169.290831498734,120.0
120,120.0,0.547986285490042,-245.27908582856986,-170.6742684351408,154.0
121,121.0,0.5452463540625918,-111.1023009367587,-170.7863835929043,83.0
122,122.0,0.5425201222922789,-232.84926118845405,-172.1664569766308,160.0
123,123.0,0.5398075216808175,-176.36712131004197,-171.68903024735692,247.0
124,124.0,0.5371084840724134,-251.54389380717853,-174.2416040868538,238.0
125,125.0,0.5344229416520513,-148.53080484536792,-173.42911052120394,114.0
126,126.0,0.531750826943791,-209.4287734694534,-174.22051826952142,322.0
127,127.0,0.5290920728090721,-200.72241417851643,-175.00160844828233,225.0
128,128.0,0.5264466124450268,-226.43740337066657,-176.25565157691162,134.0
129,129.0,0.5238143793828016,-144.19257762180533,-176.7338645387801,261.0
130,130.0,0.5211953074858876,-199.2469658492102,-177.6601910403688,102.0
131,131.0,0.5185893309484582,-310.43192976539,-179.17999307571364,324.0
132,132.0,0.5159963842937159,-106.62597733398806,-179.1926248982044,117.0
133,133.0,0.5134164023722473,-145.62446297615406,-180.1932291141533,150.0
134,134.0,0.510849320360386,-242.40836380027608,-181.26979105723217,133.0
135,135.0,0.5082950737585841,-185.62096030472154,-181.9842616633701,160.0
136,136.0,0.5057535983897912,-288.21916296196116,-182.23586648526037,245.0
137,137.0,0.5032248303978422,-294.862488029313,-184.7486559139442,201.0
138,138.0,0.500708706245853,-246.40310739466668,-182.99105077882177,146.0
139,139.0,0.4982051627146237,-165.65097345474055,-183.99801810204076,192.0
140,140.0,0.49571413690105054,-207.2451572277643,-185.12704451897508,239.0
141,141.0,0.4932355662165453,-39.83999118376444,-184.8956112897478,283.0
142,142.0,0.4907693883854626,-137.36860769541667,-185.35788651571133,181.0
