Episode,Epsilon,Reward,Mean_Reward,Time
0.0,0.01,-411.22926308033425,-411.22926308033425,61.0
1.0,0.01,-420.7490743917543,-415.98916873604423,103.0
2.0,0.01,-296.44792150489195,-376.14208632566016,100.0
3.0,0.01,-257.5003883834996,-346.48166184012007,91.0
4.0,0.01,-193.19101165648925,-315.8235318033939,57.0
5.0,0.01,-117.06335631448749,-282.6968358885762,64.0
6.0,0.01,-121.0071171679294,-259.5983046427695,91.0
7.0,0.01,-101.04185658471134,-239.7787486355122,124.0
8.0,0.01,-241.34403062144634,-239.95266885617153,61.0
9.0,0.01,-239.7106199456147,-239.92846396511587,500.0
10.0,0.01,-647.1776840039406,-276.95112033228173,369.0
11.0,0.01,-381.1249376456442,-285.63227177506195,197.0
12.0,0.01,-302.57688423500093,-286.93570350274956,171.0
13.0,0.01,-276.32422435641087,-286.1777407065825,175.0
14.0,0.01,-416.8172331286085,-294.88704020138425,247.0
15.0,0.01,-552.5427241477502,-310.9905204480321,110.0
16.0,0.01,-175.75480495749676,-303.0354783603536,151.0
17.0,0.01,-452.08204614177936,-311.31584323709944,95.0
18.0,0.01,-498.8794163664274,-321.1876102439062,155.0
19.0,0.01,-297.6715950073571,-320.0118094820787,224.0
20.0,0.01,-237.34176335580023,-316.0751406189226,330.0
21.0,0.01,-220.18338259823716,-311.71642434525506,299.0
22.0,0.01,-351.55567105052796,-313.44856550635393,239.0
23.0,0.01,-454.3711993120991,-319.3203419149266,225.0
24.0,0.01,-456.8961963638339,-324.8233760928829,327.0
25.0,0.01,-377.55857922097124,-326.8516531362709,241.0
26.0,0.01,-451.86289068775744,-331.48169897151115,323.0
27.0,0.01,-385.88010869303696,-333.42449931870846,290.0
28.0,0.01,-325.41560021251837,-333.14833038401224,248.0
29.0,0.01,-397.59489255687504,-335.2965491231077,257.0
30.0,0.01,-349.5497255106724,-335.7563290065775,243.0
31.0,0.01,-434.21595230895366,-338.8331922347768,175.0
32.0,0.01,-195.07443061763098,-334.47686612516634,432.0
33.0,0.01,-48.51592449182705,-326.066250194774,500.0
34.0,0.01,-356.22247704710014,-326.927856676269,402.0
35.0,0.01,-256.60171981557136,-324.97435287458296,376.0
36.0,0.01,-427.4327867856168,-327.74349973704335,300.0
37.0,0.01,-431.4834048387701,-330.47349723972036,239.0
38.0,0.01,-477.1098771351217,-334.23340441652556,236.0
39.0,0.01,-15.666447774217911,-326.26923050046787,500.0
40.0,0.01,-446.6708642984865,-329.2058557150537,243.0
41.0,0.01,-281.77354028302983,-328.0765148714341,344.0
42.0,0.01,-275.7698767866335,-326.86008142760153,251.0
43.0,0.01,-460.90300932790956,-329.90651160715396,122.0
44.0,0.01,-502.56903392402205,-333.7434565475288,225.0
45.0,0.01,-364.49613080479753,-334.41199294442595,233.0
46.0,0.01,-305.7088544846649,-333.801287870814,339.0
47.0,0.01,-456.882093299272,-336.3654713172402,291.0
48.0,0.01,-483.41817336096767,-339.366546869153,224.0
49.0,0.01,-59.57341298188105,-333.77068419140755,360.0
50.0,0.01,-431.4357593691679,-335.6856856654813,287.0
51.0,0.01,-330.151612394376,-335.57926117949853,347.0
52.0,0.01,-418.61808837206706,-337.14603150388655,260.0
53.0,0.01,-486.6357176017445,-339.9143590242173,348.0
54.0,0.01,-50.761246548394126,-334.65702970647504,500.0
55.0,0.01,-480.83246126374377,-337.26730526999773,468.0
56.0,0.01,-146.1693283003871,-333.9147091828116,500.0
57.0,0.01,-244.73396996421513,-332.3771102307668,259.0
58.0,0.01,-270.5818150121088,-331.32973234570477,232.0
59.0,0.01,-52.99675424438051,-326.69084937734937,500.0
60.0,0.01,-99.22661159260441,-322.9619274464519,391.0
61.0,0.01,-22.5984380415511,-318.1173550366954,500.0
62.0,0.01,-356.29502469729266,-318.7233497932129,492.0
63.0,0.01,67.28570140545581,-312.6919583682337,500.0
64.0,0.01,-360.7327016018123,-313.4310467256734,350.0
65.0,0.01,-256.5006289065646,-312.5684646375051,453.0
